no;year;id;wks;union;independen
1;1;1;32;0;5.560679913
2;2;1;43;0;5.720310211
3;3;1;40;0;5.996449947
4;4;1;39;0;5.996449947
5;5;1;42;0;6.061460018
6;6;1;35;0;6.173789978
7;7;1;32;0;6.244170189
8;1;2;34;0;6.163310051
9;2;2;27;0;6.2146101
10;3;2;33;1;6.263400078
11;4;2;30;0;6.543910027
12;5;2;30;0;6.697030067
13;6;2;37;0;6.791220188
14;7;2;30;0;6.815639973
15;1;3;50;1;5.652490139
16;2;3;51;1;6.436150074
17;3;3;50;1;6.548220158
18;4;3;52;1;6.602590084
19;5;3;52;1;6.695799828
20;6;3;52;1;6.778779984
21;7;3;46;1;6.860660076
22;1;4;52;0;6.156980038
23;2;4;46;0;6.238319874
24;3;4;46;0;6.300789833
25;4;4;49;0;6.359570026
26;5;4;44;0;6.469250202
27;6;4;52;0;6.562439919
28;7;4;46;0;6.621409893
29;1;5;50;1;6.437749863
30;2;5;46;1;6.620069981
31;3;5;40;1;6.633319855
32;4;5;50;0;6.982860088
33;5;5;47;0;7.047520161
34;6;5;47;0;7.313220024
35;7;5;49;0;7.295740128
36;1;6;44;0;6.905749798
37;2;6;47;0;6.905749798
38;3;6;47;0;6.907760143
39;4;6;47;0;7.003069878
40;5;6;44;0;7.069019794
41;6;6;45;0;7.520229816
42;7;6;47;0;7.338890076
43;1;7;46;1;6.133399963
44;2;7;48;1;6.173789978
45;3;7;49;1;6.212609768
46;4;7;46;1;6.313549995
47;5;7;47;1;6.375020027
48;6;7;47;1;6.445720196
49;7;7;48;1;6.522089958
50;1;8;51;1;6.331500053
51;2;8;50;1;6.403570175
52;3;8;50;1;6.543910027
53;4;8;50;1;6.562439919
54;5;8;44;1;6.591670036
55;6;8;51;1;6.817830086
56;7;8;51;1;6.891630173
57;1;9;50;0;6.551080227
58;2;9;48;0;6.551080227
59;3;9;50;0;6.802390099
60;4;9;48;0;6.907760143
61;5;9;48;0;7.090079784
62;6;9;44;0;7.170119762
63;7;9;48;0;7.207859993
64;1;10;49;0;6.396930218
65;2;10;47;0;6.437749863
66;3;10;46;0;6.437749863
67;4;10;44;0;6.437749863
68;5;10;43;0;6.522089958
69;6;10;34;0;6.613379955
70;7;10;40;0;6.739339828
71;1;11;47;1;6.658010006
72;2;11;48;1;6.726230145
73;3;11;45;1;6.802390099
74;4;11;45;1;6.907760143
75;5;11;47;1;7.039659977
76;6;11;17;1;7.127689838
77;7;11;47;1;7.244229794
78;1;12;47;1;6.551080227
79;2;12;46;1;6.629360199
80;3;12;47;1;6.722630024
81;4;12;47;1;6.733399868
82;5;12;47;1;6.722630024
83;6;12;47;1;6.951769829
84;7;12;46;1;7.05272007
85;1;13;48;0;6.905749798
86;2;13;48;0;6.900730133
87;3;13;50;0;7.170119762
88;4;13;48;0;7.265429974
89;5;13;48;0;7.259119987
90;6;13;46;0;7.254879951
91;7;13;46;0;7.400010109
92;1;14;45;0;6.802390099
93;2;14;45;0;6.802390099
94;3;14;45;0;6.925600052
95;4;14;44;0;7.003069878
96;5;14;44;0;7.130899906
97;6;14;44;0;7.124479771
98;7;14;44;0;7.122869968
99;1;15;50;0;5.940169811
100;2;15;46;0;5.860789776
101;3;15;48;0;5.998939991
102;4;15;46;0;6.084499836
103;5;15;48;0;6.395259857
104;6;15;41;0;6.476970196
105;7;15;48;0;6.476970196
106;1;16;50;0;5.978889942
107;2;16;50;0;5.783830166
108;3;16;48;0;5.857930183
109;4;16;48;0;5.953239918
110;5;16;50;0;6.14632988
111;6;16;50;0;6.175869942
112;7;16;49;0;6.388559818
113;1;17;49;0;6.620069981
114;2;17;48;0;6.492239952
115;3;17;49;0;6.779920101
116;4;17;50;0;6.745240211
117;5;17;51;0;7.090079784
118;6;17;46;0;7.130899906
119;7;17;47;0;7.130899906
120;1;18;47;0;6.905749798
121;2;18;46;0;6.905749798
122;3;18;47;0;7.600900173
123;4;18;47;0;7.649690151
124;5;18;47;0;7.718689919
125;6;18;48;0;7.783219814
126;7;18;47;0;7.80384016
127;1;19;37;1;6.386879921
128;2;19;49;1;6.473889828
129;3;19;50;1;6.542469978
130;4;19;47;1;6.675819874
131;5;19;47;1;6.741700172
132;6;19;25;1;6.831950188
133;7;19;40;1;6.936339855
134;1;20;50;0;6.783329964
135;2;20;49;0;6.85751009
136;3;20;49;0;6.98472023
137;4;20;48;0;7.057899952
138;5;20;48;0;7.205639839
139;6;20;49;0;7.109879971
140;7;20;48;0;7.266829967
141;1;21;42;1;6.059120178
142;2;21;46;1;6.052090168
143;3;21;49;1;5.991459846
144;4;21;49;1;6.2146101
145;5;21;48;1;6.324359894
146;6;21;45;1;6.442540169
147;7;21;42;1;6.442540169
148;1;22;46;0;6.599870205
149;2;22;45;0;6.599870205
150;3;22;44;0;6.68460989
151;4;22;46;0;6.727429867
152;5;22;47;0;6.88244009
153;6;22;51;0;6.956550121
154;7;22;47;0;7.047520161
155;1;23;50;0;6.905749798
156;2;23;50;0;6.905749798
157;3;23;51;0;7.495540142
158;4;23;50;0;7.661530018
159;5;23;48;0;7.863269806
160;6;23;47;0;8.039159775
161;7;23;50;0;7.893569946
162;1;24;30;0;5.438079834
163;2;24;51;0;5.521460056
164;3;24;51;0;5.579730034
165;4;24;52;0;5.669879913
166;5;24;49;0;5.736569881
167;6;24;51;1;5.843540192
168;7;24;50;0;5.857930183
169;1;25;37;1;6.529419899
170;2;25;39;1;6.579249859
171;3;25;40;1;6.715380192
172;4;25;38;1;6.68460989
173;5;25;38;1;6.791220188
174;6;25;39;1;6.975409985
175;7;25;41;1;6.907760143
176;1;26;48;0;6.476970196
177;2;26;47;0;6.551080227
178;3;26;49;0;6.866930008
179;4;26;48;0;6.856460094
180;5;26;47;0;7.279319763
181;6;26;47;0;7.549610138
182;7;26;48;0;7.367080212
183;1;27;50;0;6.016160011
184;2;27;52;0;6.905749798
185;3;27;48;0;7.047520161
186;4;27;50;0;7.261929989
187;5;27;50;0;7.090079784
188;6;27;45;0;6.963190079
189;7;27;23;0;7.313220024
190;1;28;50;0;6.733399868
191;2;28;50;0;6.697030067
192;3;28;50;0;6.68460989
193;4;28;50;0;6.745240211
194;5;28;50;0;6.731019974
195;6;28;49;0;6.802390099
196;7;28;49;0;6.745240211
197;1;29;49;0;6.905749798
198;2;29;49;0;6.905749798
199;3;29;49;0;7.062190056
200;4;29;49;0;7.57558012
201;5;29;50;0;7.673220158
202;6;29;49;0;7.473070145
203;7;29;49;0;7.560080051
204;1;30;47;0;6.19644022
205;2;30;47;0;6.298950195
206;3;30;48;0;6.331500053
207;4;30;49;0;6.363029957
208;5;30;49;0;6.481579781
209;6;30;45;0;6.577859879
210;7;30;49;0;6.643789768
211;1;31;48;0;6.905749798
212;2;31;48;0;6.905749798
213;3;31;48;0;7.313220024
214;4;31;47;0;7.244229794
215;5;31;43;0;7.484370232
216;6;31;47;0;7.549610138
217;7;31;45;0;7.613319874
218;1;32;50;0;6.905749798
219;2;32;49;0;6.905749798
220;3;32;49;0;7.467370033
221;4;32;48;0;7.408530235
222;5;32;49;0;7.605889797
223;6;32;47;0;8.048789978
224;7;32;47;0;7.740660191
225;1;33;51;0;6.905749798
226;2;33;47;0;6.905749798
227;3;33;51;0;7.170119762
228;4;33;47;0;7.279319763
229;5;33;48;0;7.240650177
230;6;33;50;0;7.377759933
231;7;33;49;0;7.467370033
232;1;34;48;0;5.758900166
233;2;34;48;0;5.860789776
234;3;34;48;0;5.823050022
235;4;34;49;0;5.948029995
236;5;34;50;0;6.248040199
237;6;34;48;0;6.206580162
238;7;34;46;0;5.983940125
239;1;35;30;1;6.514709949
240;2;35;49;1;6.61070013
241;3;35;48;1;6.396930218
242;4;35;49;1;6.752270222
243;5;35;34;1;6.886529922
244;6;35;48;1;7.01211977
245;7;35;45;1;7.025539875
246;1;36;52;0;6.620069981
247;2;36;47;0;6.77421999
248;3;36;50;0;7.130899906
249;4;36;50;0;7.088409901
250;5;36;48;0;7.130899906
251;6;36;50;0;6.907760143
252;7;36;41;0;7.180069923
253;1;37;52;0;6.905749798
254;2;37;47;0;6.741700172
255;3;37;50;0;7.003069878
256;4;37;49;0;7.130899906
257;5;37;50;0;7.142829895
258;6;37;48;0;7.282760143
259;7;37;49;0;7.40914011
260;1;38;48;1;6.052090168
261;2;38;49;1;6.052090168
262;3;38;48;1;6.052090168
263;4;38;48;1;6.368189812
264;5;38;49;1;6.436150074
265;6;38;48;1;6.549650192
266;7;38;49;1;6.522089958
267;1;39;47;0;6.476970196
268;2;39;51;0;6.586170197
269;3;39;48;0;6.476970196
270;4;39;50;0;6.529419899
271;5;39;50;0;6.802390099
272;6;39;52;0;6.779920101
273;7;39;51;0;6.807929993
274;1;40;47;1;6.357840061
275;2;40;39;1;6.499790192
276;3;40;32;1;6.582029819
277;4;40;35;1;6.694560051
278;5;40;47;1;6.78783989
279;6;40;45;1;6.907760143
280;7;40;47;1;7.35819006
281;1;41;50;0;6.905749798
282;2;41;50;0;6.905749798
283;3;41;50;0;7.377759933
284;4;41;50;0;7.491089821
285;5;41;50;0;7.57558012
286;6;41;48;0;7.528329849
287;7;41;47;0;7.744999886
288;1;42;38;1;6.218599796
289;2;42;41;1;6.493750095
290;3;42;51;1;6.580639839
291;4;42;50;1;6.689599991
292;5;42;42;1;6.793469906
293;6;42;50;1;6.924610138
294;7;42;49;1;7.025539875
295;1;43;49;0;6.68460989
296;2;43;47;0;6.84375
297;3;43;48;0;6.907760143
298;4;43;49;0;7.003069878
299;5;43;46;0;7.130899906
300;6;43;45;0;7.408530235
301;7;43;49;0;7.438379765
302;1;44;48;0;6.905749798
303;2;44;48;0;6.905749798
304;3;44;48;0;7.207859993
305;4;44;47;0;7.313220024
306;5;44;46;0;7.438379765
307;6;44;46;0;7.493319988
308;7;44;46;0;7.600900173
309;1;45;49;0;6.224559784
310;2;45;50;0;6.333280087
311;3;45;50;0;6.309919834
312;4;45;50;0;6.476970196
313;5;45;50;0;6.633319855
314;6;45;50;0;6.682109833
315;7;45;49;0;6.652860165
316;1;46;42;1;6.126870155
317;2;46;44;1;6.232450008
318;3;46;48;1;6.32614994
319;4;46;47;1;6.324359894
320;5;46;48;1;6.467700005
321;6;46;47;1;6.606649876
322;7;46;47;1;6.551080227
323;1;47;48;0;6.905749798
